expt_no,time_expt-h,sample_no_1,breed,treat,container_type,grasshopper_id,gh_note,grasshopper_mass,wet_initial,dry_final_1,EXTRAP_dry_initial_1,diff
3,72,C11,C,mixed,Mixed,12,,67.5,337.6,92.4,109.76889,17.36889
3,72,C17,C,mixed,Mixed,14,,90.5,295.9,69.6,94.08252,24.48252
1,88,C5,C,mixed,Mixed,1,,90.3,701.4,239.5,246.32212,6.82212
2,63,C5,C,mixed,Mixed,6,,226.4,488.3,138.7,166.32519,27.62519
3,72,C5,C,mixed,Mixed,15,possibly died,97.7,483.2,154.5,164.40441,9.90441
3,72,C12,C,mixed,Mixed,12,,67.5,236.9,38.6,71.95798,33.35798
3,72,C18,C,mixed,Mixed,14,,90.5,202.4,46.1,59.0105,12.9105
1,88,C6,C,mixed,Mixed,1,,90.3,603.8,203.7,209.68502,5.98502
2,63,C6,C,mixed,Mixed,6,,226.4,192.5,26.4,55.27565,28.87565
3,72,C6,C,mixed,Mixed,15,possibly died,97.7,333,55.3,108.02596,52.72596
3,72,W11,W,mixed,Mixed,12,,67.5,121.5,29.6,33.7155,4.1155
3,72,W17,W,mixed,Mixed,14,,90.5,357.2,95.4,107.13714,11.73714
1,88,W5,W,mixed,Mixed,1,,90.3,704.1,302.7,215.17894,-87.52106
2,63,W5,W,mixed,Mixed,6,,226.4,208.9,51.2,60.93794,9.73794
3,72,W5,W,mixed,Mixed,15,possibly died,97.7,177.3,55.2,51.1133,-4.0867
3,72,W12,W,mixed,Mixed,12,,67.5,347.9,94.1,104.24238,10.14238
3,72,W18,W,mixed,Mixed,14,,90.5,217.6,49.5,63.65726,14.15726
1,88,W6,W,mixed,Mixed,1,,90.3,288.7,91.8,85.79194,-6.00806
2,63,W6,W,mixed,Mixed,6,,226.4,221.5,50.5,64.88534,14.38534
3,72,W6,W,mixed,Mixed,15,possibly died,97.7,389.9,108.6,117.31266,8.71266
